"subjid","condition","gamble_order_exp","type","reward","probability","choicenum","bdm","rt","payoffPos"
114,1,60,"1",1039,58,61,500,6.714,"top"
114,1,37,"1",758,71,38,590,8.234,"top"
114,1,5,"1",69,97,6,69,9.292,"top"
114,1,73,"1",1208,47,74,555,9.321,"top"
114,1,86,"1",1508,39,87,400,10.963,"top"
114,1,32,"1",615,73,33,350,8.104,"top"
114,1,4,"1",78,98,5,70,8.856,"top"
114,1,57,"1",1046,60,58,700,8.554,"top"
114,1,40,"1",752,72,41,550,13.989,"top"
114,1,56,"1",973,58,57,325,9.789,"top"
114,1,63,"1",1128,59,64,370,11.069,"top"
114,1,42,"1",824,64,43,550,10.125,"top"
114,1,49,"1",889,68,50,500,19.557,"top"
114,1,2,"1",24,99,3,22,6.111,"top"
114,1,93,"1",1682,33,94,560,18.003,"top"
114,1,30,"1",695,75,31,475,9.659,"top"
114,1,39,"1",727,69,40,590,8.879,"top"
114,1,52,"1",877,59,53,425,7.698,"top"
114,1,15,"1",363,83,16,300,10.792,"top"
114,1,97,"1",1704,33,98,320,3.157,"top"
114,1,0,"1",3,100,1,3,10.094,"top"
114,1,71,"1",1278,54,72,400,9.498,"top"
114,1,72,"1",1277,54,73,510,10.314,"top"
114,1,84,"1",1527,40,85,320,5.245,"top"
114,1,45,"1",846,64,46,410,7.225,"top"
114,1,61,"1",1013,57,62,390,6.919,"top"
114,1,17,"1",359,84,18,330,12.415,"top"
114,1,88,"1",1651,40,89,300,15.88,"top"
114,1,11,"1",190,92,12,185,10.583,"top"
114,1,90,"1",1483,39,91,350,17.713,"top"
114,1,25,"1",667,78,26,520,12.087,"top"
114,1,87,"1",1511,37,88,200,4.756,"top"
114,1,92,"1",1603,38,93,330,4.276,"top"
114,1,1,"1",7,100,2,7,9.061,"top"
114,1,95,"1",1732,31,96,200,9.802,"top"
114,1,22,"1",528,82,23,430,9.994,"top"
114,1,41,"1",749,69,42,400,7.215,"top"
114,1,6,"1",83,97,7,80,9.752,"top"
114,1,147,"1",2463,2,148,150,22.426,"top"
114,1,114,"1",1947,24,115,350,10.468,"top"
114,1,113,"1",1924,22,114,300,7.336,"top"
114,1,159,"center",1453,61,10,510,33.832,"top"
114,1,131,"1",2205,12,132,150,17.917,"top"
114,1,141,"1",2321,7,142,350,7.113,"top"
114,1,116,"1",2001,21,117,500,11.121,"top"
114,1,112,"1",1860,27,113,460,10.799,"top"
114,1,136,"1",2251,11,137,320,11.635,"top"
114,1,122,"1",2062,20,123,550,22.901,"top"
114,1,102,"1",1795,30,103,450,17.523,"top"
114,1,146,"1",2456,2,147,200,7.068,"top"
114,1,169,"TR",2326,82,10,2000,16.241,"top"
114,1,109,"1",1830,26,110,510,10.606,"top"
114,1,148,"1",2461,1,149,100,14.932,"top"
114,1,115,"1",1990,30,116,650,7.705,"top"
114,1,128,"1",2146,15,129,300,8.173,"top"
114,1,130,"1",2167,13,131,350,6.322,"top"
114,1,154,"center",1423,42,5,490,14.213,"top"
114,1,158,"center",1336,50,9,650,10.889,"top"
114,1,149,"1",2485,1,150,60,3.138,"top"
114,1,155,"center",1019,39,6,270,13.816,"top"
114,1,166,"TL",297,82,7,275,9.711,"top"
114,1,163,"BR",2326,12,4,200,18.62,"top"
114,1,123,"1",2078,17,124,355,12.115,"top"
114,1,156,"center",1143,43,7,440,3.826,"top"
114,1,138,"1",2320,9,139,120,12.131,"top"
114,1,142,"1",2383,4,143,100,18.737,"top"
114,1,157,"center",1413,47,8,550,10.277,"top"
114,1,108,"1",1775,28,109,475,4.044,"top"
114,1,126,"1",2133,16,127,200,11.793,"top"
114,1,160,"BL",297,12,1,50,10.068,"top"
114,1,153,"center",1494,40,4,450,7.742,"top"
114,1,101,"1",1745,30,102,440,6.128,"top"
114,1,103,"1",1705,31,104,440,4.763,"top"
114,1,162,"BL",174,3,3,25,6.369,"top"
114,1,161,"BL",43,15,2,10,10.333,"top"
114,1,165,"BR",2069,3,6,100,9.973,"top"
114,1,168,"TL",174,82,9,150,23.459,"top"
114,1,134,"1",2244,11,135,200,7.17,"top"
114,1,110,"1",1844,24,111,380,7.152,"top"
114,1,118,"1",1968,21,119,440,8.367,"top"
114,1,121,"1",1990,19,122,400,14.065,"top"
114,1,164,"BR",2161,15,5,285,3.26,"top"
114,1,144,"1",2448,2,145,150,8.351,"top"
114,1,167,"TL",43,94,8,38,8.91,"top"
114,1,106,"1",1744,29,107,530,12.794,"top"
114,1,152,"center",1061,50,3,444,4.922,"top"
114,1,104,"1",1722,31,105,470,4.011,"top"
114,1,111,"1",1872,25,112,400,8.366,"top"
114,1,150,"center",1181,60,1,350,5.933,"top"
114,1,140,"1",2345,7,141,270,7.368,"top"
114,1,171,"TR",2069,82,12,1700,8.239,"top"
114,1,129,"1",2172,14,130,250,7.907,"top"
114,1,139,"1",2316,6,140,160,7.397,"top"
114,1,107,"1",1874,29,108,550,4.732,"top"
114,1,151,"center",1116,50,2,490,13.296,"top"
114,1,117,"1",2007,21,118,450,15.132,"top"
114,1,125,"1",2145,15,126,100,7.946,"top"
114,1,119,"1",1935,21,120,370,15.652,"top"
114,1,133,"1",2234,12,134,100,4.693,"top"
114,1,105,"1",1768,32,106,330,12.061,"top"
114,1,124,"1",2062,19,125,260,5.978,"top"
114,1,145,"1",2454,2,146,100,20.153,"top"
114,1,132,"1",2195,14,133,200,9.573,"top"
114,1,127,"1",2151,16,128,320,3.805,"top"
114,1,170,"TR",2161,94,11,1980,12.009,"top"
114,1,137,"1",2271,8,138,200,10.977,"top"
114,1,143,"1",2423,4,144,100,8.966,"top"
114,1,135,"1",2223,11,136,240,10.765,"top"
114,1,120,"1",2072,20,121,550,6.473,"top"
115,1,6,"1",83,97,7,80,14.933,"bottom"
115,1,69,"1",1076,57,70,963,8.572,"bottom"
115,1,34,"1",766,71,35,607,14.016,"bottom"
115,1,55,"1",973,62,56,762,19.788,"bottom"
115,1,48,"1",874,69,49,707,7.288,"bottom"
115,1,84,"1",1527,40,85,1095,13.013,"bottom"
115,1,32,"1",615,73,33,495,24.169,"bottom"
115,1,31,"1",687,69,32,475,22.566,"bottom"
115,1,78,"1",1496,43,79,999,9.263,"bottom"
115,1,35,"1",696,72,36,533,14.592,"bottom"
115,1,42,"1",824,64,43,649,11.34,"bottom"
115,1,80,"1",1335,45,81,940,7.706,"bottom"
